,Topic 1,,,Topic 2,,,Topic 3,,,topic 4,,,topic 5,,,Topic 6,,,Topic 7,,,Topic 8,,,topic 9,,,Topic 10,,,Topic 11,,,Topic 12,,,Topic 13,,,Topic 14,,,Topic 15,,,Topic 16,,,Topic 17,,,Topic 18,,,Topic 19,,,Topic 20,,,Topic 21,,,Topic 22,,,Topic 23,,,Topic 24,,,Topic 25,,,Topic 26,,,Topic 27,,,Topic 28,,,Topic 29,,,topic 30,,,Topic 31,,,Topic 32,,,Topic 33,,,Topic 34,,,Topic 35,,,Topic 36,,,Topic 37,,,Topic 38,,,Topic 39,,,topic 40,,
,Economic Forecast,,,Company performance,,,Policy,,,global critical thinking,,,Council projects,,,FTSE,,,Politics/MPs,,,Preferences?,,,Investment,,,Fiscal Policy,,,Scottish Independence,,,Companies,,,Scottish business,,,M&A (Merge and Acquisitions),,,Stock Numbers,,,Employment,,,Art,,,Oil,,,Banking,,,Conflict,,,Brexit,,,Real Estate,,,Currency crisis,,,RAF base,,,Energy,,,Education,,,Football,,,Family,,,Farming,,,Transport,,,Retails,,,Leisure,,,Fishing industry,,,Inmigration,,,Tourism,,,Internet links,,,Whisky industry,,,Europe,,,Advertisement,,,unknown,,
Date,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion,Article count,Total News,Proportion
May-15,10,10977,0.000910996,6,10977,0.000546597,4,10977,0.000364398,3,10977,0.000273299,4,10977,0.000364398,9,10977,0.000819896,10,10977,0.000910996,1,10977,9.10996E-05,3,10977,0.000273299,2,10977,0.000182199,4,10977,0.000364398,1,10977,9.10996E-05,3,10977,0.000273299,2,10977,0.000182199,1,10977,9.10996E-05,1,10977,9.10996E-05,0,10977,0,1,10977,9.10996E-05,1,10977,9.10996E-05,0,10977,0,6,10977,0.000546597,3,10977,0.000273299,0,10977,0,1,10977,9.10996E-05,0,10977,0,1,10977,9.10996E-05,0,10977,0,1,10977,9.10996E-05,0,10977,0,0,10977,0,0,10977,0,0,10977,0,0,10977,0,0,10977,0,0,10977,0,0,10977,0,0,10977,0,0,10977,0,0,10977,0,0,10977,0
Jun-15,12,10362,0.001158078,1,10362,9.65065E-05,6,10362,0.000579039,7,10362,0.000675545,3,10362,0.000289519,6,10362,0.000579039,2,10362,0.000193013,0,10362,0,0,10362,0,2,10362,0.000193013,2,10362,0.000193013,3,10362,0.000289519,3,10362,0.000289519,1,10362,9.65065E-05,0,10362,0,2,10362,0.000193013,2,10362,0.000193013,0,10362,0,0,10362,0,2,10362,0.000193013,3,10362,0.000289519,2,10362,0.000193013,4,10362,0.000386026,0,10362,0,3,10362,0.000289519,0,10362,0,1,10362,9.65065E-05,0,10362,0,1,10362,9.65065E-05,0,10362,0,0,10362,0,1,10362,9.65065E-05,0,10362,0,0,10362,0,0,10362,0,0,10362,0,0,10362,0,0,10362,0,0,10362,0,0,10362,0
Jul-15,13,10711,0.001213706,6,10711,0.000560172,2,10711,0.000186724,2,10711,0.000186724,5,10711,0.00046681,6,10711,0.000560172,4,10711,0.000373448,0,10711,0,1,10711,9.3362E-05,3,10711,0.000280086,2,10711,0.000186724,1,10711,9.3362E-05,2,10711,0.000186724,0,10711,0,0,10711,0,5,10711,0.00046681,0,10711,0,2,10711,0.000186724,0,10711,0,1,10711,9.3362E-05,4,10711,0.000373448,3,10711,0.000280086,2,10711,0.000186724,0,10711,0,1,10711,9.3362E-05,1,10711,9.3362E-05,0,10711,0,0,10711,0,0,10711,0,0,10711,0,0,10711,0,2,10711,0.000186724,0,10711,0,0,10711,0,1,10711,9.3362E-05,0,10711,0,0,10711,0,0,10711,0,0,10711,0,0,10711,0
Aug-15,9,10236,0.00087925,9,10236,0.00087925,4,10236,0.000390778,3,10236,0.000293083,1,10236,9.76944E-05,2,10236,0.000195389,2,10236,0.000195389,0,10236,0,0,10236,0,4,10236,0.000390778,3,10236,0.000293083,0,10236,0,0,10236,0,0,10236,0,0,10236,0,0,10236,0,0,10236,0,2,10236,0.000195389,0,10236,0,0,10236,0,0,10236,0,3,10236,0.000293083,1,10236,9.76944E-05,1,10236,9.76944E-05,6,10236,0.000586166,0,10236,0,0,10236,0,0,10236,0,2,10236,0.000195389,0,10236,0,0,10236,0,0,10236,0,0,10236,0,0,10236,0,0,10236,0,0,10236,0,0,10236,0,0,10236,0,0,10236,0,0,10236,0
Sep-15,8,10113,0.000791061,6,10113,0.000593296,5,10113,0.000494413,1,10113,9.88826E-05,3,10113,0.000296648,14,10113,0.001384357,4,10113,0.000395531,0,10113,0,0,10113,0,0,10113,0,6,10113,0.000593296,1,10113,9.88826E-05,1,10113,9.88826E-05,0,10113,0,0,10113,0,2,10113,0.000197765,0,10113,0,4,10113,0.000395531,2,10113,0.000197765,1,10113,9.88826E-05,4,10113,0.000395531,0,10113,0,1,10113,9.88826E-05,2,10113,0.000197765,2,10113,0.000197765,0,10113,0,1,10113,9.88826E-05,0,10113,0,0,10113,0,0,10113,0,0,10113,0,0,10113,0,0,10113,0,0,10113,0,0,10113,0,0,10113,0,0,10113,0,0,10113,0,0,10113,0,0,10113,0
Oct-15,0,11061,0,7,11061,0.000632854,3,11061,0.000271223,3,11061,0.000271223,6,11061,0.000542446,5,11061,0.000452039,3,11061,0.000271223,1,11061,9.04077E-05,3,11061,0.000271223,0,11061,0,1,11061,9.04077E-05,0,11061,0,1,11061,9.04077E-05,0,11061,0,0,11061,0,3,11061,0.000271223,1,11061,9.04077E-05,1,11061,9.04077E-05,1,11061,9.04077E-05,0,11061,0,0,11061,0,1,11061,9.04077E-05,0,11061,0,0,11061,0,2,11061,0.000180815,0,11061,0,1,11061,9.04077E-05,0,11061,0,0,11061,0,0,11061,0,0,11061,0,0,11061,0,0,11061,0,0,11061,0,0,11061,0,0,11061,0,0,11061,0,0,11061,0,0,11061,0,0,11061,0
Nov-15,2,9681,0.00020659,10,9681,0.001032951,6,9681,0.000619771,0,9681,0,2,9681,0.00020659,2,9681,0.00020659,2,9681,0.00020659,1,9681,0.000103295,0,9681,0,3,9681,0.000309885,1,9681,0.000103295,1,9681,0.000103295,1,9681,0.000103295,0,9681,0,0,9681,0,0,9681,0,2,9681,0.00020659,1,9681,0.000103295,2,9681,0.00020659,2,9681,0.00020659,0,9681,0,2,9681,0.00020659,0,9681,0,1,9681,0.000103295,3,9681,0.000309885,1,9681,0.000103295,0,9681,0,0,9681,0,1,9681,0.000103295,0,9681,0,0,9681,0,0,9681,0,1,9681,0.000103295,0,9681,0,0,9681,0,0,9681,0,0,9681,0,0,9681,0,0,9681,0,0,9681,0
Dec-15,4,10067,0.000397338,0,10067,0,2,10067,0.000198669,3,10067,0.000298003,5,10067,0.000496672,10,10067,0.000993345,5,10067,0.000496672,0,10067,0,3,10067,0.000298003,1,10067,9.93345E-05,1,10067,9.93345E-05,2,10067,0.000198669,2,10067,0.000198669,0,10067,0,0,10067,0,2,10067,0.000198669,1,10067,9.93345E-05,0,10067,0,0,10067,0,0,10067,0,2,10067,0.000198669,0,10067,0,0,10067,0,0,10067,0,1,10067,9.93345E-05,2,10067,0.000198669,2,10067,0.000198669,0,10067,0,2,10067,0.000198669,1,10067,9.93345E-05,0,10067,0,0,10067,0,4,10067,0.000397338,0,10067,0,0,10067,0,0,10067,0,0,10067,0,0,10067,0,0,10067,0,0,10067,0
Jan-16,5,10353,0.000482952,6,10353,0.000579542,4,10353,0.000386361,2,10353,0.000193181,4,10353,0.000386361,3,10353,0.000289771,0,10353,0,4,10353,0.000386361,6,10353,0.000579542,1,10353,9.65904E-05,1,10353,9.65904E-05,3,10353,0.000289771,4,10353,0.000386361,0,10353,0,0,10353,0,2,10353,0.000193181,0,10353,0,4,10353,0.000386361,0,10353,0,1,10353,9.65904E-05,4,10353,0.000386361,1,10353,9.65904E-05,0,10353,0,1,10353,9.65904E-05,3,10353,0.000289771,0,10353,0,0,10353,0,1,10353,9.65904E-05,2,10353,0.000193181,0,10353,0,0,10353,0,0,10353,0,0,10353,0,0,10353,0,1,10353,9.65904E-05,0,10353,0,0,10353,0,0,10353,0,0,10353,0,0,10353,0
Feb-16,6,10495,0.000571701,7,10495,0.000666984,5,10495,0.000476417,6,10495,0.000571701,7,10495,0.000666984,6,10495,0.000571701,10,10495,0.000952835,2,10495,0.000190567,4,10495,0.000381134,2,10495,0.000190567,3,10495,0.00028585,7,10495,0.000666984,0,10495,0,6,10495,0.000571701,0,10495,0,0,10495,0,1,10495,9.52835E-05,2,10495,0.000190567,0,10495,0,1,10495,9.52835E-05,11,10495,0.001048118,2,10495,0.000190567,0,10495,0,0,10495,0,1,10495,9.52835E-05,1,10495,9.52835E-05,2,10495,0.000190567,0,10495,0,0,10495,0,0,10495,0,0,10495,0,0,10495,0,0,10495,0,0,10495,0,2,10495,0.000190567,0,10495,0,0,10495,0,0,10495,0,0,10495,0,0,10495,0
Mar-16,9,11073,0.000812788,6,11073,0.000541859,5,11073,0.000451549,3,11073,0.000270929,2,11073,0.00018062,9,11073,0.000812788,2,11073,0.00018062,0,11073,0,2,11073,0.00018062,14,11073,0.001264337,3,11073,0.000270929,2,11073,0.00018062,8,11073,0.000722478,0,11073,0,2,11073,0.00018062,4,11073,0.000361239,2,11073,0.00018062,1,11073,9.03098E-05,0,11073,0,3,11073,0.000270929,8,11073,0.000722478,1,11073,9.03098E-05,0,11073,0,0,11073,0,0,11073,0,2,11073,0.00018062,0,11073,0,1,11073,9.03098E-05,2,11073,0.00018062,1,11073,9.03098E-05,0,11073,0,3,11073,0.000270929,0,11073,0,1,11073,9.03098E-05,0,11073,0,0,11073,0,0,11073,0,0,11073,0,0,11073,0,0,11073,0
Apr-16,13,10563,0.001230711,7,10563,0.000662691,6,10563,0.00056802,0,10563,0,2,10563,0.00018934,2,10563,0.00018934,2,10563,0.00018934,0,10563,0,1,10563,9.46701E-05,0,10563,0,5,10563,0.00047335,4,10563,0.00037868,3,10563,0.00028401,3,10563,0.00028401,2,10563,0.00018934,1,10563,9.46701E-05,1,10563,9.46701E-05,1,10563,9.46701E-05,0,10563,0,0,10563,0,10,10563,0.000946701,3,10563,0.00028401,0,10563,0,0,10563,0,3,10563,0.00028401,2,10563,0.00018934,2,10563,0.00018934,0,10563,0,1,10563,9.46701E-05,0,10563,0,0,10563,0,0,10563,0,0,10563,0,0,10563,0,0,10563,0,0,10563,0,0,10563,0,0,10563,0,0,10563,0,0,10563,0
May-16,23,10863,0.002117279,11,10863,0.001012612,3,10863,0.000276167,4,10863,0.000368222,2,10863,0.000184111,6,10863,0.000552334,9,10863,0.0008285,0,10863,0,1,10863,9.20556E-05,4,10863,0.000368222,5,10863,0.000460278,1,10863,9.20556E-05,2,10863,0.000184111,4,10863,0.000368222,1,10863,9.20556E-05,2,10863,0.000184111,1,10863,9.20556E-05,4,10863,0.000368222,0,10863,0,0,10863,0,17,10863,0.001564945,1,10863,9.20556E-05,0,10863,0,0,10863,0,0,10863,0,0,10863,0,1,10863,9.20556E-05,0,10863,0,2,10863,0.000184111,3,10863,0.000276167,1,10863,9.20556E-05,1,10863,9.20556E-05,0,10863,0,0,10863,0,0,10863,0,0,10863,0,4,10863,0.000368222,0,10863,0,0,10863,0,0,10863,0
Jun-16,31,11897,0.002605699,9,11897,0.000756493,10,11897,0.000840548,5,11897,0.000420274,6,11897,0.000504329,10,11897,0.000840548,16,11897,0.001344877,1,11897,8.40548E-05,16,11897,0.001344877,4,11897,0.000336219,7,11897,0.000588384,12,11897,0.001008658,8,11897,0.000672438,2,11897,0.00016811,3,11897,0.000252164,2,11897,0.00016811,1,11897,8.40548E-05,2,11897,0.00016811,5,11897,0.000420274,0,11897,0,64,11897,0.005379507,6,11897,0.000504329,0,11897,0,1,11897,8.40548E-05,0,11897,0,0,11897,0,0,11897,0,0,11897,0,4,11897,0.000336219,4,11897,0.000336219,0,11897,0,3,11897,0.000252164,0,11897,0,1,11897,8.40548E-05,0,11897,0,0,11897,0,0,11897,0,0,11897,0,0,11897,0,0,11897,0
Jul-16,43,12738,0.003375726,39,12738,0.003061705,25,12738,0.001962631,5,12738,0.000392526,8,12738,0.000628042,17,12738,0.001334589,23,12738,0.001805621,7,12738,0.000549537,13,12738,0.001020568,6,12738,0.000471032,10,12738,0.000785053,15,12738,0.001177579,22,12738,0.001727116,1,12738,7.85053E-05,0,12738,0,2,12738,0.000157011,4,12738,0.000314021,2,12738,0.000157011,8,12738,0.000628042,1,12738,7.85053E-05,34,12738,0.002669179,17,12738,0.001334589,0,12738,0,4,12738,0.000314021,5,12738,0.000392526,1,12738,7.85053E-05,1,12738,7.85053E-05,0,12738,0,7,12738,0.000549537,6,12738,0.000471032,2,12738,0.000157011,0,12738,0,0,12738,0,0,12738,0,1,12738,7.85053E-05,0,12738,0,0,12738,0,0,12738,0,0,12738,0,0,12738,0
Aug-16,40,14273,0.002802494,29,14273,0.002031808,14,14273,0.000980873,4,14273,0.000280249,12,14273,0.000840748,5,14273,0.000350312,9,14273,0.000630561,5,14273,0.000350312,3,14273,0.000210187,11,14273,0.000770686,10,14273,0.000700624,12,14273,0.000840748,20,14273,0.001401247,3,14273,0.000210187,0,14273,0,1,14273,7.00624E-05,8,14273,0.000560499,2,14273,0.000140125,4,14273,0.000280249,1,14273,7.00624E-05,23,14273,0.001611434,5,14273,0.000350312,0,14273,0,3,14273,0.000210187,1,14273,7.00624E-05,6,14273,0.000420374,2,14273,0.000140125,0,14273,0,5,14273,0.000350312,1,14273,7.00624E-05,1,14273,7.00624E-05,0,14273,0,0,14273,0,1,14273,7.00624E-05,0,14273,0,0,14273,0,0,14273,0,0,14273,0,0,14273,0,0,14273,0
